City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Caravelas,BR,-17.7125,-39.2481,71.06,71,29,7.83,scattered clouds
81,Ilulissat,GL,69.2167,-51.1,53.62,37,100,9.22,overcast clouds
82,Alexandria,EG,31.2156,29.9553,77.54,73,40,9.22,scattered clouds
83,Yanam,IN,16.7333,82.2167,80.96,81,84,4.23,broken clouds
84,Nikolskoye,RU,59.7035,30.7861,67.89,70,24,2.53,few clouds
85,Chapais,CA,49.7834,-74.8492,65.98,50,91,8.93,overcast clouds
86,Poum,NC,-20.2333,164.0167,72.32,78,1,17.25,clear sky
87,Bubaque,GW,11.2833,-15.8333,79.41,81,100,9.55,overcast clouds
88,Jijiang,CN,29.2906,106.2542,85.37,81,0,2.44,clear sky
89,Turinsk,RU,58.0458,63.696,47.46,74,13,6.11,few clouds
90,Atar,MR,20.5169,-13.0499,104.85,13,97,1.34,overcast clouds
91,Gamba,GA,-2.65,10.0,71.24,88,97,3.94,overcast clouds
92,Tasiilaq,GL,65.6145,-37.6368,48.36,85,50,5.26,scattered clouds
93,Lebu,CL,-37.6167,-73.65,52.11,88,39,12.1,scattered clouds
94,Ojinaga,MX,29.5667,-104.4167,101.57,29,1,6.91,clear sky
95,Cairns,AU,-16.9167,145.7667,64.35,77,100,10.36,overcast clouds
96,Inhambane,MZ,-23.865,35.3833,65.46,68,100,11.65,light rain
97,Tiksi,RU,71.6872,128.8694,48.25,81,100,6.38,overcast clouds
98,Aswan,EG,24.0934,32.907,94.3,20,0,6.91,clear sky
99,Moree,AU,-29.4667,149.85,37.42,87,3,4.61,clear sky
100,Eyl,SO,7.9803,49.8164,77.2,70,4,21.63,clear sky
101,Baoshan,CN,46.5586,131.4244,72.82,74,89,5.73,overcast clouds
102,Shelburne,CA,44.0787,-80.2041,83.86,35,0,15.41,clear sky
103,Tadine,NC,-21.55,167.8833,70.9,77,6,14.0,clear sky
104,Minuri,PH,16.535,121.8574,77.7,79,77,3.13,broken clouds
105,Cleethorpes,GB,53.5605,-0.0323,66.29,82,75,6.91,broken clouds
106,Cidreira,BR,-30.1811,-50.2056,68.14,67,0,10.83,clear sky
107,Hasaki,JP,35.7333,140.8333,75.6,79,10,15.75,clear sky
108,Kalmunai,LK,7.4167,81.8167,79.86,80,100,7.27,overcast clouds
109,Fortuna,US,40.5982,-124.1573,60.98,84,1,16.11,clear sky
